0, Porsche, 911, 210500, 10.12.2023, DIESEL, 455
1, Porsche, Taycan, 500000, 31.01.2024, ELECTRIC, 700
2, Toyota, CHR, 20000, 28.09.2019, HYBRID, 130
3, Skoda, Octavia, 10000, 06.03.1999, DIESEL, 98
4, Audi, A3, 32500, 26.02.2024, DIESEL, 172
5, Audi, A7, 23525, 12.12.2012, DIESEL, 228
6, Mazda, CX5, 35000, 26.04.2018, HYBRID, 198
11, Ford, Kuga, 12350, 27.02.2021, HYBRID, 155
13, Alfa Romeo, 159, 5000, 01.03.2024, DIESEL, 142
17, Kia, CEED, 28000, 28.02.2024, HYBRID, 210
23, Kia, XCEED, 31250, 02.02.2024, HYBRID, 198
